created_at,entry_id,field1,field2,latitude,longitude,elevation,status
2021-03-04 09:28:51 MST,1,24.10000,41.00000,,,,
2021-03-04 09:29:06 MST,2,24.00000,36.00000,,,,
2021-03-04 09:29:22 MST,3,24.00000,36.00000,,,,
2021-03-04 09:29:37 MST,4,23.90000,36.00000,,,,
2021-03-04 09:29:52 MST,5,24.00000,36.00000,,,,
2021-03-04 09:30:08 MST,6,23.90000,36.00000,,,,
2021-03-04 09:30:23 MST,7,23.90000,37.00000,,,,
2021-03-04 09:30:39 MST,8,23.90000,37.00000,,,,
2021-03-04 09:30:54 MST,9,23.90000,36.00000,,,,
2021-03-04 09:31:09 MST,10,23.90000,36.00000,,,,
2021-03-04 09:31:25 MST,11,24.00000,36.00000,,,,
2021-03-04 09:31:40 MST,12,23.90000,36.00000,,,,
2021-03-04 09:31:56 MST,13,23.90000,39.00000,,,,
2021-03-04 09:32:11 MST,14,23.90000,38.00000,,,,
2021-03-04 09:32:27 MST,15,24.00000,37.00000,,,,
2021-03-04 09:32:42 MST,16,24.00000,38.00000,,,,
2021-03-04 09:33:00 MST,17,24.00000,37.00000,,,,
2021-03-04 09:34:01 MST,18,24.00000,36.00000,,,,
2021-03-04 09:35:01 MST,19,24.00000,37.00000,,,,
2021-03-04 09:36:02 MST,20,24.00000,39.00000,,,,
2021-03-04 09:37:02 MST,21,24.10000,40.00000,,,,
2021-03-04 09:38:03 MST,22,24.10000,40.00000,,,,
2021-03-04 09:39:03 MST,23,24.10000,38.00000,,,,
2021-03-04 09:39:37 MST,24,24.10000,37.00000,,,,
2021-03-04 09:49:37 MST,25,24.10000,36.00000,,,,
2021-03-04 09:59:38 MST,26,24.10000,37.00000,,,,
2021-03-04 10:09:38 MST,27,24.10000,38.00000,,,,
2021-03-04 10:19:38 MST,28,26.40000,68.00000,,,,
2021-03-04 10:29:39 MST,29,24.30000,35.00000,,,,
2021-03-04 10:39:39 MST,30,24.30000,35.00000,,,,
2021-03-04 10:49:40 MST,31,24.40000,35.00000,,,,
2021-03-04 10:59:40 MST,32,24.60000,36.00000,,,,
2021-03-04 11:09:41 MST,33,28.00000,95.00000,,,,
2021-03-04 11:19:41 MST,34,43.50000,16.00000,,,,
2021-03-04 11:29:41 MST,35,25.60000,34.00000,,,,
2021-03-04 15:30:21 MST,36,25.10000,44.00000,,,,
2021-03-04 15:40:22 MST,37,25.10000,44.00000,,,,
2021-03-04 15:50:22 MST,38,24.90000,41.00000,,,,
2021-03-04 16:00:23 MST,39,25.10000,40.00000,,,,
2021-03-04 16:10:23 MST,40,25.20000,38.00000,,,,
2021-03-14 17:31:23 MDT,41,22.80000,36.00000,,,,
2021-03-14 17:35:57 MDT,42,22.60000,36.00000,,,,
2021-03-14 17:40:58 MDT,43,22.50000,37.00000,,,,
2021-03-14 18:06:06 MDT,44,22.40000,35.00000,,,,
2021-03-14 18:11:07 MDT,45,22.40000,35.00000,,,,
2021-03-14 18:18:58 MDT,46,23.70000,36.00000,,,,
2021-03-14 18:19:36 MDT,47,23.40000,33.00000,,,,
2021-03-14 18:24:36 MDT,48,23.30000,35.00000,,,,
2021-03-14 18:25:21 MDT,49,22.80000,34.00000,,,,
2021-03-14 18:28:28 MDT,50,22.80000,37.00000,,,,
2021-03-14 18:33:28 MDT,51,22.70000,34.00000,,,,
2021-03-14 18:38:29 MDT,52,22.50000,34.00000,,,,
2021-03-14 18:43:30 MDT,53,22.50000,35.00000,,,,
2021-03-14 18:48:30 MDT,54,22.60000,35.00000,,,,
2021-03-14 18:53:31 MDT,55,22.60000,35.00000,,,,
