created_at,entry_id,field1,field2,latitude,longitude,elevation,status
2021-03-15 16:29:05 MDT,84,20.20000,16.00000,,,,
2021-03-15 16:34:06 MDT,85,20.40000,16.00000,,,,
2021-03-15 16:39:06 MDT,86,21.80000,15.00000,,,,
2021-03-15 16:44:07 MDT,87,22.90000,15.00000,,,,
2021-03-15 16:49:07 MDT,88,21.80000,15.00000,,,,
2021-03-15 16:54:07 MDT,89,17.60000,16.00000,,,,
2021-03-15 16:59:08 MDT,90,16.10000,16.00000,,,,
2021-03-15 17:04:08 MDT,91,16.30000,16.00000,,,,
2021-03-15 17:09:08 MDT,92,15.00000,17.00000,,,,
2021-03-15 17:14:09 MDT,93,15.70000,17.00000,,,,
2021-03-15 17:19:09 MDT,94,16.10000,16.00000,,,,
2021-03-15 17:24:09 MDT,95,15.70000,17.00000,,,,
2021-03-15 17:29:10 MDT,96,15.70000,17.00000,,,,
2021-03-15 17:34:10 MDT,97,15.50000,17.00000,,,,
2021-03-15 17:39:10 MDT,98,14.40000,17.00000,,,,
2021-03-15 17:44:11 MDT,99,14.70000,17.00000,,,,
2021-03-15 17:49:11 MDT,100,14.20000,17.00000,,,,
2021-03-15 17:54:12 MDT,101,14.10000,17.00000,,,,
2021-03-15 17:59:12 MDT,102,13.80000,17.00000,,,,
2021-03-15 18:04:12 MDT,103,14.20000,17.00000,,,,
2021-03-15 18:09:13 MDT,104,14.40000,17.00000,,,,
2021-03-15 18:14:13 MDT,105,13.50000,17.00000,,,,
2021-03-15 18:19:13 MDT,106,13.10000,17.00000,,,,
2021-03-15 18:24:14 MDT,107,12.50000,17.00000,,,,
2021-03-15 18:29:14 MDT,108,13.00000,17.00000,,,,
2021-03-15 18:34:15 MDT,109,12.00000,17.00000,,,,
2021-03-15 18:39:15 MDT,110,12.50000,18.00000,,,,
2021-03-15 18:44:15 MDT,111,12.20000,20.00000,,,,
2021-03-15 18:49:16 MDT,112,11.80000,20.00000,,,,
2021-03-15 18:54:16 MDT,113,11.80000,25.00000,,,,
2021-03-15 18:59:17 MDT,114,11.50000,27.00000,,,,
2021-03-15 19:04:17 MDT,115,11.40000,29.00000,,,,
2021-03-15 19:09:17 MDT,116,11.00000,29.00000,,,,
2021-03-15 19:14:18 MDT,117,10.80000,31.00000,,,,
2021-03-15 19:19:20 MDT,118,11.10000,32.00000,,,,
2021-03-15 19:24:21 MDT,119,10.10000,34.00000,,,,
2021-03-15 19:29:21 MDT,120,10.10000,36.00000,,,,
2021-03-15 19:34:22 MDT,121,9.70000,36.00000,,,,
2021-03-15 19:39:22 MDT,122,9.50000,36.00000,,,,
2021-03-15 19:44:22 MDT,123,9.00000,38.00000,,,,
2021-03-15 19:49:23 MDT,124,8.80000,39.00000,,,,
2021-03-15 19:54:23 MDT,125,8.70000,39.00000,,,,
2021-03-15 19:59:23 MDT,126,8.30000,40.00000,,,,
2021-03-15 20:04:24 MDT,127,8.00000,40.00000,,,,
2021-03-15 20:09:24 MDT,128,7.90000,40.00000,,,,
2021-03-15 20:14:25 MDT,129,8.00000,41.00000,,,,
2021-03-15 20:19:25 MDT,130,7.60000,44.00000,,,,
2021-03-15 20:24:26 MDT,131,7.30000,44.00000,,,,
2021-03-15 20:29:26 MDT,132,6.30000,44.00000,,,,
2021-03-15 20:34:26 MDT,133,7.30000,45.00000,,,,
2021-03-15 20:39:27 MDT,134,7.30000,46.00000,,,,
2021-03-15 20:44:27 MDT,135,6.30000,46.00000,,,,
2021-03-15 20:49:28 MDT,136,6.30000,46.00000,,,,
2021-03-15 20:54:28 MDT,137,6.70000,47.00000,,,,
2021-03-15 20:59:28 MDT,138,6.60000,48.00000,,,,
2021-03-15 21:04:29 MDT,139,6.60000,48.00000,,,,
2021-03-15 21:09:29 MDT,140,6.00000,50.00000,,,,
2021-03-15 21:14:30 MDT,141,5.60000,52.00000,,,,
2021-03-15 21:19:30 MDT,142,5.00000,55.00000,,,,
2021-03-15 21:24:30 MDT,143,4.40000,58.00000,,,,
2021-03-15 21:29:31 MDT,144,4.10000,57.00000,,,,
2021-03-15 21:34:31 MDT,145,4.70000,57.00000,,,,
2021-03-15 21:39:32 MDT,146,4.10000,58.00000,,,,
2021-03-15 21:44:32 MDT,147,4.30000,58.00000,,,,
2021-03-15 21:49:32 MDT,148,3.50000,60.00000,,,,
2021-03-15 21:54:33 MDT,149,3.80000,61.00000,,,,
2021-03-15 21:59:33 MDT,150,3.80000,61.00000,,,,
2021-03-15 22:04:33 MDT,151,3.80000,61.00000,,,,
2021-03-15 22:09:34 MDT,152,3.90000,61.00000,,,,
2021-03-15 22:14:34 MDT,153,3.60000,61.00000,,,,
2021-03-15 22:19:34 MDT,154,3.50000,61.00000,,,,
2021-03-15 22:24:35 MDT,155,3.50000,61.00000,,,,
2021-03-15 22:29:35 MDT,156,3.30000,62.00000,,,,
2021-03-15 22:34:36 MDT,157,3.00000,62.00000,,,,
2021-03-15 22:39:36 MDT,158,2.80000,62.00000,,,,
2021-03-15 22:44:37 MDT,159,3.80000,63.00000,,,,
2021-03-15 22:49:37 MDT,160,3.00000,62.00000,,,,
2021-03-15 22:54:37 MDT,161,2.20000,64.00000,,,,
2021-03-15 22:59:38 MDT,162,1.90000,65.00000,,,,
2021-03-15 23:04:38 MDT,163,3.30000,64.00000,,,,
2021-03-15 23:09:39 MDT,164,1.80000,67.00000,,,,
2021-03-15 23:14:40 MDT,165,2.20000,65.00000,,,,
2021-03-15 23:19:40 MDT,166,1.50000,65.00000,,,,
2021-03-15 23:24:41 MDT,167,2.30000,65.00000,,,,
2021-03-15 23:29:41 MDT,168,1.30000,65.00000,,,,
2021-03-15 23:34:41 MDT,169,1.00000,67.00000,,,,
2021-03-15 23:39:42 MDT,170,1.80000,67.00000,,,,
2021-03-15 23:44:42 MDT,171,1.50000,65.00000,,,,
2021-03-15 23:49:43 MDT,172,1.80000,66.00000,,,,
2021-03-15 23:54:43 MDT,173,1.20000,66.00000,,,,
2021-03-15 23:59:43 MDT,174,1.40000,67.00000,,,,
2021-03-16 00:04:44 MDT,175,0.90000,68.00000,,,,
2021-03-16 00:09:44 MDT,176,0.90000,68.00000,,,,
2021-03-16 00:14:45 MDT,177,1.20000,66.00000,,,,
2021-03-16 00:19:45 MDT,178,1.20000,67.00000,,,,
2021-03-16 00:24:45 MDT,179,0.90000,69.00000,,,,
2021-03-16 00:29:46 MDT,180,0.90000,69.00000,,,,
2021-03-16 00:34:46 MDT,181,0.50000,68.00000,,,,
2021-03-16 00:39:46 MDT,182,-0.70000,68.00000,,,,
2021-03-16 00:44:47 MDT,183,1.40000,67.00000,,,,
2021-03-16 00:49:47 MDT,184,0.40000,68.00000,,,,
2021-03-16 00:54:48 MDT,185,-0.30000,71.00000,,,,
2021-03-16 00:59:48 MDT,186,0.00000,71.00000,,,,
2021-03-16 01:04:48 MDT,187,-0.90000,72.00000,,,,
2021-03-16 01:09:49 MDT,188,0.90000,71.00000,,,,
2021-03-16 01:14:49 MDT,189,-1.40000,71.00000,,,,
2021-03-16 01:19:49 MDT,190,0.30000,71.00000,,,,
2021-03-16 01:24:50 MDT,191,0.00000,71.00000,,,,
2021-03-16 01:29:50 MDT,192,-0.60000,70.00000,,,,
2021-03-16 01:34:51 MDT,193,-0.90000,70.00000,,,,
2021-03-16 01:39:51 MDT,194,-0.20000,70.00000,,,,
2021-03-16 01:44:51 MDT,195,-0.10000,72.00000,,,,
2021-03-16 01:49:52 MDT,196,-1.70000,71.00000,,,,
2021-03-16 01:54:52 MDT,197,-0.30000,72.00000,,,,
2021-03-16 01:59:52 MDT,198,-1.60000,71.00000,,,,
2021-03-16 02:04:53 MDT,199,-1.50000,73.00000,,,,
2021-03-16 02:09:53 MDT,200,-0.10000,72.00000,,,,
2021-03-16 02:14:54 MDT,201,-0.30000,72.00000,,,,
2021-03-16 02:19:54 MDT,202,-0.50000,71.00000,,,,
2021-03-16 02:24:54 MDT,203,-0.30000,71.00000,,,,
2021-03-16 02:29:55 MDT,204,-1.70000,71.00000,,,,
2021-03-16 02:34:55 MDT,205,-1.90000,70.00000,,,,
2021-03-16 02:39:56 MDT,206,-1.30000,71.00000,,,,
